gaba2,age,stage,batch
0.185271318,p120,adult,1
0.128538638,p120,adult,1
0.135822081,p120,adult,1
0.172588832,p120,adult,1
0.154729,p120,adult,2
0.150406,p120,adult,2
0.121096,p120,adult,2
0.127092,p120,adult,2
0.134741442,p35,adolescence,1
0.443324937,p35,adolescence,1
0.223175966,p35,adolescence,1
0.291304348,p35,adolescence,1
0.300725,p35,adolescence,2
0.28412,p35,adolescence,2
0.354156,p35,adolescence,2
0.232153,p35,adolescence,2
0.226361032,p55,adolescence,1
0.105762217,p55,adolescence,1
0.25314778,p55,adolescence,1
0.202684564,p55,adolescence,1
0.230946,p55,adolescence,2
0.300946,p55,adolescence,2
0.096937,p55,adolescence,2
0.253047,p55,adolescence,2
