gaba2,age,stage,lrp8,trial
0.018390805,p120,adult,0.299616858,two
0.003731343,p120,adult,0.202985075,two
0.010152284,p120,adult,0.290186125,two
0.039456662,p120,adult,,one
0.028883184,p120,adult,,one
0.030232558,p120,adult,0.47751938,two
0.010911925,p35,adolescence,0.282151208,two
0.138641043,p35,adolescence,0.787920384,two
0.094557823,p35,adolescence,0.708843537,two
0.116830491,p35,adolescence,,one
0.059135839,p35,adolescence,,one
0.056309362,p35,adolescence,0.637042062,two
0.070634921,p55,adolescence,0.616666667,two
0.105590062,p55,adolescence,0.510869565,two
0.017921147,p55,adolescence,0.417204301,two
0.024946543,p55,adolescence,0.376336422,two
0.065910334,p55,adolescence,,one
0.071556351,p55,adolescence,,one
