Count_Watershed,Count_baselineObject,ImageNumber,Overlap_Ffactor_baselinePrediction,Overlap_Ffactor_predictionImage,Overlap_Precision_baselinePrediction,Overlap_Precision_predictionImage,Overlap_Recall_baselinePrediction,Overlap_Recall_predictionImage
320,298,1,0.912642504,0.951042449,0.850545801,0.947803854,0.984520437,0.954303251
307,306,2,0.924313428,0.952365513,0.871606743,0.955318791,0.983804811,0.949430438
302,295,3,0.919494466,0.950878903,0.865675876,0.950568162,0.980448402,0.951189848
312,288,4,0.917092649,0.952520797,0.863935699,0.954178114,0.977219839,0.950869228
301,300,5,0.917889407,0.952758159,0.872406778,0.951483836,0.968375324,0.9540359
300,302,6,0.926514485,0.956085812,0.877355097,0.958222643,0.981509803,0.953958489
305,298,7,0.912118389,0.948003904,0.853500535,0.946478746,0.979381678,0.949533985
301,301,8,0.918334413,0.94987784,0.864537731,0.946827298,0.979270447,0.952948103
305,301,9,0.918328697,0.950530497,0.86581995,0.948466119,0.977617551,0.952603882
307,303,10,0.921747033,0.95463842,0.867650131,0.954493217,0.98303824,0.954783667
302,302,11,0.913796865,0.952693553,0.854316599,0.950950071,0.982179345,0.95444344
307,295,12,0.913354052,0.95119786,0.853692945,0.948490689,0.981980662,0.95392053
315,298,13,0.917633162,0.950288695,0.86297101,0.950039598,0.979688407,0.950537922
300,289,14,0.910549647,0.95214134,0.849979601,0.952338785,0.980414566,0.951943978
301,293,15,0.915001801,0.952097365,0.859337227,0.94989684,0.978377338,0.954308109
300,300,16,0.923272888,0.952561084,0.87147046,0.952550198,0.981623067,0.952571971
310,306,17,0.917710141,0.950602779,0.862375139,0.947884509,0.980633272,0.953336684
307,308,18,0.920802298,0.955426719,0.866201553,0.95359466,0.982749614,0.957265831
289,290,19,0.917375549,0.953992944,0.858536285,0.951405693,0.984873238,0.956594304
309,310,20,0.920535154,0.95300988,0.86809616,0.952902036,0.979716805,0.953117749
