Count_Watershed,Count_baselineObject,ImageNumber,Overlap_Ffactor_baselinePrediction,Overlap_Ffactor_predictionImage,Overlap_Precision_baselinePrediction,Overlap_Precision_predictionImage,Overlap_Recall_baselinePrediction,Overlap_Recall_predictionImage
314,333,1,0.919076214,0.952174727,0.863936306,0.9532093,0.981734477,0.951142396
306,336,2,0.911999207,0.948596435,0.850505405,0.947170978,0.983078387,0.950026189
311,326,3,0.919968818,0.950260555,0.868180689,0.949316084,0.97832734,0.951206908
306,326,4,0.919083479,0.951087072,0.866273344,0.948284848,0.978750495,0.953905907
312,330,5,0.912429308,0.95195899,0.856211113,0.951826567,0.976548786,0.95209145
309,327,6,0.914124988,0.947181927,0.855250488,0.947802729,0.981704438,0.946561937
311,323,7,0.915938352,0.947508526,0.858856806,0.946739305,0.98114762,0.948278998
304,328,8,0.909139403,0.949693265,0.851660837,0.948660233,0.974937938,0.950728548
304,324,9,0.914171416,0.947303274,0.859242884,0.941411635,0.976602347,0.953269121
306,323,10,0.910319017,0.948948207,0.851818905,0.948118672,0.977446841,0.949779196
306,323,11,0.909878777,0.947877502,0.846875287,0.943788544,0.983010045,0.952002045
304,325,12,0.916779282,0.949408958,0.863953013,0.94765625,0.976486385,0.951168162
311,322,13,0.920528459,0.950740483,0.869587688,0.952553286,0.977808868,0.948934567
309,324,14,0.913709406,0.949114122,0.858424359,0.945696296,0.976605677,0.952556742
307,328,15,0.921237383,0.951337302,0.865834089,0.948329726,0.984215722,0.954364015
306,344,16,0.92339262,0.953940183,0.873024065,0.956879803,0.979928984,0.951018569
305,327,17,0.920406026,0.952417724,0.867971473,0.953097497,0.979583088,0.951738921
303,330,18,0.911788132,0.949226453,0.851685142,0.947095646,0.981018082,0.951366869
307,326,19,0.915033988,0.948102255,0.85967701,0.948122546,0.978010807,0.948081965
311,324,20,0.913716892,0.948805168,0.856026504,0.949013599,0.979745073,0.948596829
